"from","to","quote","chain_id","attribution","domain","statement_id","attributionValence","attributionExplicit"
3,45,"My younger daughter is suffering from a skin infection since three months ago. Rashes in her skin are evident and she is itching it. Despite her sickness, the health condition of my family has been well.",1,"6","Health and Education",1,-1,1
7,43,"We care greatly for our hygiene and sanitation. We manage to keep food and water clean. There were people like you who came here and taught us how to keep our food and water clean.",2,"3","Health and Education",1,1,2
5,83,"In the past three years, farming activity wasnt as productive as it used to be before. We work hard but the gain is very minimal and much less compared to what we invest. I don't know whether it is due to the climate change or the problem with the soil but the land isn't giving sufficient product.",3,"6","Farming and Food",2,-1,1
8,84,"I have also tried to produce vegetables and fruits as per the training I got from an organization (I dont remember its name). The problem is the fruits and vegetable don't grow in dry season and it dries if there isn't enough water, so I stopped producing it.",4,"4","Farming and Food",2,-1,2
22,51,NA,5,"5","Income from other sources",3,1,1
31,87,NA,6,"6","Expenditure and Savings",4,-1,1
15,50,NA,7,"1","Links to other organisations",5,1,3
3,90,"Im feeling sick and weak; I had an operation some time ago and the operation 'reduced' my blood. Both of my children have dropped out from school to look for income source to supplement our meagre income. So they are now engaged in trading.",8,"6","Health and Education",6,-1,1
6,83,"The farming activity is good though it is bad this year for the whole community. The main problem with the farming is that the soil in our locality is swampy.",9,"6","Farming and Food",7,-1,1
15,84,"The government agents, particularly kebele principals, gave support through distributing vegetables and fruits for planting. But we tried it and it couldnt grow in our locality but it was good for people in other kebeles.",10,"4","Farming and Food",7,-1,2
5,84,"The heavy rain resulted in flood which washed away our crops. [The weather change accompanied by flood left us with shortage of food.]",11,"6","Farming and Food",8,-1,1
42,48,"They engaged in trading activity alongside the farming. The trading activity is relatively better and my sons are doing well with it.",12,"5","Income from other sources",9,1,1
42,51,NA,13,"5","Income from other sources",10,1,1
31,90,"In previous times everything was cheap and we could afford it with the cheap price. But now everything becomes expensive. The price of food items like maize, bean or any other crop is very expensive. So we spend much of our money on purchasing food stuffs.",14,"6","Expenditure and Savings",11,-1,1
17,43,"The government helped us to access health services like drugs, injection, chemical net, and other services that helped us to be healthy.",15,"5","Health and Education",12,1,1
7,43,"In the past three years we have learned to build toilets around our house and to wash our hands every time we use the toilet. We also now keep our hygiene, as well as our childrens hygiene, by washing clothes.",16,"3","Health and Education",12,1,2
13,47,"Regarding drinking water, we can collect it from the kebele water source which was built by an NGO.",17,"3","Health and Education",12,1,2
8,49,"The farming has been very good and I was productive in the past three years. For example I produce about 10 quintals of teff per plot of land and I have benefited a lot from it. I also have grown maize, beans, oats and have benefited a lot. I have also received support through send organization'. I have started growing vegetables like cabbage, carrot, potato, beetroots and have benefited a lot...I was able to build a new house with the increased income.",18,"1","Farming and Food",13,1,3
14,51,"Send organization also gave me sheep and that helped me a lot in my life... I was able to build a new house with the increased income.",19,"1","Farming and Food",13,1,3
16,50,"They have also provided me with materials used for farming activity that helped me a lot to enhance my productivity. [The increased production of teff and maize, with increased price, helped us to get better income.] I was able to build a new house with the increased income.",20,"1","Farming and Food",13,1,3
32,51,NA,21,"5","Farming and Food",14,1,1
8,61,"But now we store foods like maize ahead of the coming of hungry season which starts from 5th month of the year. So producing surplus and storing food helped us to eat better during hungry season. [Production increased due to SAC training and support.]",22,"1","Farming and Food",15,1,3
8,72,NA,23,"1","Farming and Food",16,1,3
42,51,"My wife is also engaged in trading activity and our income is now improving.",24,"5","Income from other sources",17,1,1
8,72,"[Improved farming production due to SAC support]. The increased farming activity helped me to get better income which further enhanced my trading activity. So trading is helping me to augment my income.",25,"1","Income from other sources",18,1,3
10,51,"My diligence, with the help I got from Send organization, helped me to augment my income and to buy those assets.",26,"1","Expenditure and Savings",19,1,3
9,48,"In past three years I have learned a lot from send organization. The organization equipped us with life skills on how to work effectively, how to save money and other skills. Their advice helped me to change my life to better.",27,"1","Expenditure and Savings",20,1,3
15,48,"In past three years I have learned a lot from send organization. They have also gave us seeds which helped us a lot. Their advice helped me to change my life to better.",28,"1","Expenditure and Savings",20,1,3
10,70,"[Wellbeing =  Better']. I have received support from the government as well as send organization. I feel that I can further improve my life by working hard so that I will reach where other people have reached.",29,"1","Overall Wellbeing",21,1,3
10,48,NA,30,"1","Links to other organisations",22,1,3
3,95,"I have been sick in the past few years and my whole body feels weak. My elder son is also sick and that is why he dropped out of his education. Two of my children migrated to other areas in seeking better jobs. They have dropped out of school. Since the death of my husband it is me who is suffering a lot to win the bread for my family.",31,"6","Health and Education",23,-1,1
1,86,"The farming activity is declining in productivity over time. The death of my husband also left the land abandoned, as there is no one who could care for the land.",32,"6","Farming and Food",24,-1,1
6,83,"The fertility of land is declining and it is not giving good product. Many of my sons migrated to other areas due to the declining of production from the land.",33,"6","Farming and Food",25,-1,1
6,83,NA,34,"6","Farming and Food",26,-1,1
3,86,"I myself have been fighting with my illness over the past three years, so I couldnt access other income sources.",35,"6","Income from other sources",27,-1,1
33,90,"Oh! Everything is becoming expensive and we have to spend more than ever before. The cost to meet the needs of my children, visiting my daughters and others too when they give birth, everything is difficult to afford.",36,"6","Expenditure and Savings",28,-1,1
1,97,"I was also receiving support from a safety net program but they excluded me from being a beneficiary when my husband died. I sold my cattle and built a new house trusting the support I would get from them (safety net) but it is about six month since I was excluded from being a beneficiary.",37,"6","Expenditure and Savings",28,-1,1
6,93,"[Many of my sons migrated to other areas due to the declining of production from the land.] The rest are living in other areas but they help me in sending me remittance (up to 200 or 300 birr).",38,"5","Relationships (Household)",29,1,1
19,54,NA,39,"5","Notes and observations",30,1,1
25,74,"The farming activity is good. But it is only three weeks ago since we got farming land from my husbands brother. We have ploughed it and it is ready for cropping.",40,"5","Farming and Food",31,1,1
42,51,"We earn good income from the non-farm activities we both are engaged in. He gets good income from daily labour and I also earn meaningful income from the petty trade Im engaged in [My husband works on a stone quarry that serves for construction activity and I also sell injera at market.] We have recently built a new iron corrugated house due to our improved income.",41,"5","Income from other sources",32,1,1
42,51,"Most of our spending goes to purchasing basic necessities of food items and clothes. Though the cost is rising we can afford it due to increased income. 
My husband saves money through depositing it in shufuwa (local informal association for saving money) and I also deposit it in idir association in our locality.",42,"5","Expenditure and Savings",33,1,1
14,85,"The government also gave paranja kutuwa' (hybrid chicken) to people in the locality. But almost all chickens died due to 'kotuwa' (chicken epidemic) that attacked the chickens.",43,"4","Relationships (Community)",34,-1,2
11,64,NA,44,"3","Relationships (Community)",35,1,2
3,86,NA,45,"6","Overall Wellbeing",36,-1,1
13,47,"Regarding drinking water we used to collect water from river. But now we drink potable water from the kebele which costs only 0.5 cents for 10 litre. Everything is now changed and even cattle drink better water.",46,"3","Health and Education",37,1,2
5,83,"The problem of rainfall and climate change is adversely affecting our farming activity starting from past three years. Sowing crop or ploughing the land isnt giving good yield. People spend more on the land but the return is very low, it can't even cover the cost. The soil is not as productive as it used to be some years ago.",47,"6","Farming and Food",38,-1,1
32,51,"The price of cereals is also better now. For example we used to sell 100 kg of teff for 1500 or 1700. But now it can be sold for 2000 or up to 2200 birr. So the income we get from farming is better now.",48,"5","Farming and Food",39,1,1
6,83,"Expenditure is higher than my income due to declining fertility of land and erratic rainfall that resulted in declining yield of agricultural products.",49,"6","Expenditure and Savings",40,-1,1
33,90,"For example, we used to spend 200 or up to 300 birr for masqel festival to buy meat. But now it costs up to 1000 birr. So expenditure is increasing.",50,"6","Expenditure and Savings",40,-1,1
11,63,"[The government has been mobilizing people to develop themselves and other organizations are also helping it.] The government is making efforts to develop the kebele.",51,"5","Relationships (Community)",41,1,1
19,51,NA,52,"5","Overall Wellbeing",42,1,1
5,83,"The only problem we are facing is declining productivity of agriculture. [In the past three years the erratic rainfall has resulted in declining productivity of farming.]",53,"6","Health and Education",43,-1,1
13,47,"We also get potable water around here in the kebele which is constructed by World organization in 2009 (2017).",54,"3","Health and Education",43,1,2
7,43,"The heath extension has been teaching us how to keep hygiene and sanitation and we make a great deal of care concerning it. We dont suffer from any epidemics as we used to suffer.",55,"3","Health and Education",43,1,2
